evo-1,evo-2,evo-3,evo-4,evo-5,evo-6,evo-7,evo-8,evo-9,evo-10,evo-11,evo-12,evo-13,evo-14,evo-15,evo-16,evo-17,evo-18,evo-19,evo-20,evo-21,evo-22,evo-23,evo-24,evo-25,evo-26,evo-27
explore,sense-pheromone-faced,nop-C,nop-C,nop-A,nop-C,dec,nop-C,sense-faced-resource0,phero-off,nop-C,pop,phero-off,if-pheromone,if-n-equ,exploit,add,jmp-head,nop-C,phero-on,if-n-equ,swap-stk,nop-C,if-resources,shift-r,IO,push
move,swap-stk,nop-C,nop-C,jmp-head,nop-C,shift-l,inc,sub,h-search,nop-C,nop-C,inc,nop-C,nop-C,nop-C,inc,nop-C,sub,nop-C,set-flow,donate-res-to-deme,jmp-head,nand,nop-C,nop-C,shift-r
push,set-flow,nop-C,phero-on,nop-C,sense-pheromone-faced,nop-C,nop-C,swap-stk,nop-C,nop-C,nop-C,nand,nop-C,nop-C,nop-C,nop-C,nop-C,jmp-head,h-search,nop-C,if-pheromone,nop-C,nop-C,nop-C,h-search,nop-C
add,rotate-r,explore,nop-C,nop-C,nop-C,nop-C,IO,nop-C,nop-B,sense-pheromone,nop-C,nop-C,nop-C,nop-C,nop-C,nop-B,nop-C,nop-C,nop-C,nop-C,explore,if-pheromone,nop-C,donate-res-to-deme,if-not-pheromone,nop-C
nop-C,nop-C,if-pheromone,sense-resource0,add,nop-C,if-n-equ,nop-C,nop-C,get-head,nop-C,sense-pheromone-faced,nop-C,h-search,nop-C,nop-C,nop-C,if-resources,nop-C,pop,donate-res-to-deme,phero-on,nop-A,if-pheromone,sense-pheromone,nop-A,nop-C
rotate-r,nop-C,nand,if-label,get-head,get-head,if-resources,nop-C,if-resources,inc,donate-res-to-deme,mov-head,if-n-equ,if-not-pheromone,sense-faced-resource0,swap-stk,h-search,add,shift-l,nop-C,if-resources,mov-head,nop-C,if-n-equ,dec,if-resources,get-head
sense-resource0,if-resources,if-resources,if-resources,inc,explore,inc,if-label,rotate-l,nop-C,if-resources,nop-C,IO,if-resources,inc,if-resources,nop-C,nop-C,exploit,nop-C,sub,nop-C,exploit,inc,sense-pheromone,if-resources,nop-C
inc,inc,shift-r,move,nop-C,pop,nop-C,nop-C,nop-C,nop-C,inc,get-head,sense-pheromone,dec,rotate-r,nop-B,inc,nop-C,if-resources,nop-C,nop-C,pop,inc,swap-stk,inc,nop-C,shift-r
sense-pheromone,dec,push,nop-C,nop-C,push,tumble,if-resources,donate-res-to-deme,nop-C,set-flow,nop-C,nop-C,explore,if-resources,nop-C,if-resources,get-head,inc,tumble,inc,nop-A,nop-C,exploit,nop-C,nop-B,nop-B
nop-C,if-n-equ,nop-A,nop-C,nop-C,nop-C,nop-C,sub,if-n-equ,nop-C,nop-C,if-less,rotate-l,shift-l,inc,get-head,inc,nop-C,if-not-pheromone,nop-C,exploit,rotate-l,nop-C,nop-C,nop-C,nop-C,if-not-pheromone
swap-stk,swap,nop-C,nop-C,nand,nop-C,nop-C,nop-C,nop-C,nop-C,swap-stk,nop-C,nop-C,nop-C,nop-C,push,exploit,exploit,if-less,nop-C,nop-C,rotate-r,nop-C,nop-C,sub,nop-C,add
rotate-r,nop-B,nop-C,nop-C,nand,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,phero-on,sense-pheromone-faced,shift-r,sense-pheromone-faced,dec,nop-C,nop-C,nop-A,sub,nop-C,if-label,if-pheromone,nop-C,set-flow,shift-l,IO
IO,nop-C,nop-C,sense-pheromone-faced,nop-C,nop-C,swap,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,rotate-r,if-resources,explore,if-pheromone,exploit,inc,nop-C,sense-pheromone-faced,nop-C,donate-res-to-deme,h-search,rotate-r,move
move,nop-C,nop-C,nand,nop-C,nop-C,sense-faced-resource0,IO,jmp-head,nop-C,rotate-l,nop-C,swap-stk,set-flow,h-search,sense-faced-resource0,nop-C,nop-C,if-less,nop-C,swap-stk,if-resources,nop-C,sub,if-not-pheromone,if-not-pheromone,nop-C
if-label,nop-C,nop-C,phero-off,nop-C,h-search,shift-l,rotate-l,nop-C,nop-C,if-pheromone,nop-C,nop-C,nop-C,if-label,push,nop-C,get-head,h-search,nop-C,nop-C,inc,phero-off,if-not-pheromone,inc,if-pheromone,nop-C
nop-C,donate-res-to-deme,nop-C,sense-resource0,nop-C,nop-C,phero-off,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nand,nop-C,nop-C,if-pheromone,phero-on,if-resources,nop-C,nop-C,if-not-pheromone,nop-C,nop-C,swap-stk,sense-faced-resource0,if-resources
jmp-head,nop-C,nop-C,sub,explore,nop-C,nop-C,nop-C,nop-C,nop-C,rotate-l,if-resources,if-resources,dec,nop-C,shift-r,nop-C,nop-C,nop-C,if-resources,nop-C,rotate-l,dec,exploit,nop-C,nop-C,nop-C
shift-r,pop,nop-C,push,nop-C,sense-faced-resource0,nop-C,tumble,if-pheromone,nop-C,dec,swap,inc,nop-C,nop-C,nop-C,move,get-head,nop-C,nop-C,if-n-equ,nop-C,nop-C,nop-C,nop-C,if-resources,shift-r
pop,nop-C,phero-on,set-flow,add,rotate-r,if-label,nop-C,nop-C,exploit,nop-C,phero-off,nop-C,move,nop-C,if-less,rotate-l,if-resources,h-search,nop-C,if-resources,nop-C,nop-C,sense-pheromone,if-not-pheromone,nop-C,if-less
nop-C,nop-C,nop-C,nop-C,inc,if-resources,nop-C,swap-stk,explore,sense-resource0,phero-on,donate-res-to-deme,add,jmp-head,set-flow,pop,nop-C,phero-off,swap-stk,sub,inc,shift-l,nop-B,if-n-equ,sense-pheromone,set-flow,pop
rotate-l,nop-C,nop-C,sense-resource0,inc,nop-C,shift-r,swap,donate-res-to-deme,sub,shift-l,nop-C,nop-C,nop-C,sense-faced-resource0,nop-C,swap-stk,nop-C,sense-resource0,nop-C,nop-C,phero-on,nop-C,nop-C,nop-C,donate-res-to-deme,swap-stk
explore,pop,inc,swap-stk,nop-C,shift-r,sense-faced-resource0,IO,nop-C,mov-head,nop-C,if-less,nop-C,phero-on,shift-r,sub,nop-C,nop-C,if-less,if-label,mov-head,nop-C,sense-resource0,rotate-r,explore,explore,if-resources
sense-resource0,pop,nop-C,inc,nop-C,nop-C,sense-faced-resource0,if-resources,nop-C,nop-C,exploit,sense-resource0,nop-C,if-resources,swap-stk,if-resources,swap,nop-C,sense-faced-resource0,nop-C,nop-C,nop-C,nop-C,exploit,nop-A,nop-A,add
if-label,nop-C,if-resources,if-n-equ,nop-C,exploit,rotate-l,inc,exploit,nop-C,inc,nand,sense-pheromone,mov-head,dec,dec,nop-C,nop-C,inc,phero-off,push,nop-C,mov-head,sense-pheromone,nop-C,nop-C,nop-C
if-pheromone,shift-r,nop-C,donate-res-to-deme,add,nop-C,nop-C,nop-B,nop-C,nop-B,nop-A,nop-C,exploit,if-pheromone,if-resources,nop-C,rotate-r,tumble,nop-C,nop-C,nop-C,nop-C,nop-C,donate-res-to-deme,nop-C,nop-C,IO
shift-r,IO,push,exploit,nop-C,nop-C,nop-C,if-n-equ,nop-C,exploit,nop-C,if-resources,nop-C,nop-C,rotate-r,nop-C,inc,nop-C,nop-C,nop-C,nop-C,move,nop-C,h-search,jmp-head,nop-C,if-n-equ
nand,nop-C,nop-C,nop-C,exploit,nop-C,nop-C,phero-on,nop-C,nop-C,if-not-pheromone,rotate-r,rotate-r,nop-C,nop-C,nop-C,nop-C,nop-C,if-resources,if-resources,sense-pheromone,nop-C,sense-faced-resource0,sense-resource0,tumble,nop-C,nop-C
sub,rotate-l,nop-C,nop-C,nop-C,nop-C,swap,nop-B,nop-C,dec,nop-C,nop-C,if-less,nop-C,sense-resource0,nop-C,nop-C,nop-C,h-search,phero-on,if-n-equ,swap,nop-C,donate-res-to-deme,tumble,rotate-r,nop-C
get-head,nop-C,dec,nop-C,sub,nop-C,h-search,nop-C,if-pheromone,phero-off,if-less,nop-C,nop-C,nop-C,nop-C,h-search,nop-C,push,tumble,sub,nop-C,if-resources,sense-pheromone-faced,nop-C,nop-C,jmp-head,rotate-l
nop-C,nop-C,nop-C,nop-C,donate-res-to-deme,inc,nop-C,sub,exploit,phero-off,if-label,nop-C,nop-C,nop-C,nop-C,nop-C,inc,nop-A,tumble,nop-C,nop-B,inc,nop-C,donate-res-to-deme,pop,nop-C,nop-C
shift-r,nop-C,nop-C,set-flow,nop-C,nop-C,nop-C,shift-r,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,set-flow,if-not-pheromone,get-head,nop-C,IO,sub,if-n-equ,if-resources,phero-on,nop-C,nop-C,nop-C
move,nop-C,sense-pheromone,explore,dec,set-flow,jmp-head,sense-pheromone-faced,nop-C,nand,nop-C,nop-B,sub,phero-on,sense-pheromone-faced,sense-pheromone,sense-pheromone,nop-C,nop-C,nop-C,nop-C,if-label,donate-res-to-deme,nop-C,nop-C,nop-C,nop-C
if-resources,dec,nop-C,shift-r,shift-r,nop-C,phero-off,move,if-label,get-head,nop-C,nop-C,exploit,inc,get-head,sense-faced-resource0,rotate-l,set-flow,nop-C,sub,nop-C,nop-C,nop-C,nop-C,nop-C,nop-C,if-label
if-n-equ,add,nop-C,nop-C,dec,if-resources,shift-r,rotate-r,nop-C,sub,explore,nop-C,rotate-l,if-not-pheromone,nop-C,sense-pheromone-faced,nop-C,if-resources,move,nop-C,nop-C,get-head,if-resources,donate-res-to-deme,shift-l,nop-C,shift-l
mov-head,jmp-head,nop-C,nop-C,move,inc,sense-faced-resource0,set-flow,sense-faced-resource0,swap,nop-C,explore,nop-B,set-flow,h-search,swap,nand,inc,move,h-search,nop-C,rotate-r,nop-C,add,nop-C,if-resources,nop-B
sense-pheromone,nop-C,sub,donate-res-to-deme,nop-C,nop-C,exploit,nop-C,if-resources,pop,exploit,sense-pheromone-faced,nop-C,push,if-n-equ,nop-C,nop-C,add,sense-pheromone-faced,nop-C,if-resources,nop-C,nop-C,sub,inc,IO,jmp-head
explore,nop-C,exploit,phero-off,nop-C,sense-pheromone-faced,donate-res-to-deme,nop-C,push,nop-A,add,if-resources,h-search,nop-A,nop-B,nop-C,phero-off,get-head,push,if-label,inc,rotate-l,push,donate-res-to-deme,nop-C,rotate-r,jmp-head
if-resources,nop-C,nop-C,exploit,push,sense-pheromone-faced,shift-r,move,nand,inc,nop-C,get-head,nop-C,nop-C,phero-off,shift-l,sense-pheromone-faced,move,nop-C,nop-C,swap-stk,nop-C,if-resources,pop,get-head,jmp-head,if-less
get-head,move,tumble,sub,nop-C,rotate-l,nop-C,jmp-head,nop-C,nop-C,nop-C,phero-off,nop-C,if-resources,nop-C,nop-C,set-flow,nop-C,if-resources,rotate-l,nop-C,nop-C,inc,swap-stk,phero-off,shift-l,if-pheromone
set-flow,nop-C,exploit,push,nop-C,nop-C,explore,shift-r,nop-C,nop-C,nop-C,nop-C,if-n-equ,inc,jmp-head,if-resources,dec,nop-C,inc,nop-C,nand,nop-C,if-n-equ,nop-C,sense-pheromone-faced,exploit,nop-C
IO,nop-C,nop-C,nop-C,nop-C,get-head,nop-C,if-resources,tumble,nop-C,IO,nop-C,h-search,mov-head,sense-pheromone-faced,inc,shift-l,dec,nop-C,nop-B,nop-C,tumble,sense-faced-resource0,if-n-equ,phero-on,swap,nop-C
nand,nop-A,sub,shift-l,swap,mov-head,nop-C,nop-C,swap,phero-off,swap-stk,nop-C,nop-C,nop-C,if-not-pheromone,nop-C,inc,push,nop-A,sense-pheromone,nop-C,nop-C,if-n-equ,nop-C,inc,nop-C,swap
nop-B,IO,jmp-head,if-n-equ,nop-C,nop-C,nop-C,nop-C,nop-C,dec,if-pheromone,set-flow,nand,nop-C,nop-A,nop-C,donate-res-to-deme,nop-C,if-less,sense-faced-resource0,nop-C,IO,nop-C,pop,h-search,donate-res-to-deme,nop-C
swap-stk,nop-C,nop-C,nop-C,nop-C,nop-C,move,push,h-search,sub,inc,add,nop-C,sense-resource0,nop-C,push,tumble,sense-pheromone,inc,sub,nop-C,IO,if-less,IO,nop-C,shift-r,explore
nop-B,if-n-equ,nop-B,rotate-r,nop-C,nop-C,nop-C,h-search,nop-C,h-search,nop-C,if-label,nop-C,nop-C,nop-C,move,nop-C,nop-C,dec,rotate-r,sense-pheromone-faced,inc,sub,nop-C,nop-C,nop-C,explore
nand,nop-C,move,shift-l,if-resources,nop-C,nop-C,phero-on,push,nop-C,nop-C,nop-C,nop-C,nop-C,if-less,nop-C,nop-C,h-search,shift-l,nop-C,rotate-r,if-pheromone,if-resources,nop-C,if-label,nop-C,sub
